,PMID,Population
1594,29420125,adult
1594,29420125,male
1594,29420125,young adult
1596,29853485,aged
1596,29853485,female
1596,29853485,male
1596,29853485,middle aged
1597,29598988,adult
1597,29598988,aged
1597,29598988,"aged, 80 and over"
1597,29598988,female
1597,29598988,male
1597,29598988,middle aged
1598,28215467,adult
1598,28215467,female
1598,28215467,male
1598,28215467,middle aged
1599,29419343,aged
1599,29419343,"aged, 80 and over"
1599,29419343,female
1599,29419343,male
1599,29419343,middle aged
1601,28165347,female
1601,28165347,infant
1601,28165347,male
1603,30570200,aged
1603,30570200,"aged, 80 and over"
1603,30570200,female
1603,30570200,male
1603,30570200,middle aged
1605,30316065,adult
1605,30316065,male
1605,30316065,middle aged
1607,30474909,adult
1607,30474909,female
1607,30474909,male
1607,30474909,middle aged
1608,28538764,adolescent
1608,28538764,child
1608,28538764,"child, preschool"
1609,28901967,aged
1610,30336847,adult
1610,30336847,aged
1610,30336847,"aged, 80 and over"
1610,30336847,female
1610,30336847,male
1610,30336847,middle aged
1610,30336847,young adult
1611,28916510,aged
1611,28916510,female
1611,28916510,male
1611,28916510,middle aged
1612,28750907,aged
1612,28750907,female
1612,28750907,male
1613,28282304,adult
1613,28282304,aged
1613,28282304,"aged, 80 and over"
1613,28282304,female
1613,28282304,male
1613,28282304,middle aged
1614,28549484,adolescent
1614,28549484,adult
1614,28549484,male
1616,28150025,adolescent
1616,28150025,child
1616,28150025,female
1616,28150025,male
1617,28490229,aged
1617,28490229,"aged, 80 and over"
1617,28490229,female
1617,28490229,male
1617,28490229,middle aged
1618,28099965,aged
1619,29743026,adolescent
1619,29743026,adult
1619,29743026,female
1620,28673308,adult
1620,28673308,female
1620,28673308,"infant, newborn"
1621,29494361,aged
1621,29494361,"aged, 80 and over"
1621,29494361,female
1621,29494361,male
1623,30350926,aged
1623,30350926,female
1623,30350926,male
1623,30350926,middle aged
1624,27973671,adult
1624,27973671,aged
1624,27973671,female
1624,27973671,male
1624,27973671,middle aged
1625,29980522,aged
1625,29980522,female
1625,29980522,male
1625,29980522,middle aged
1628,29498245,aged
1628,29498245,female
1628,29498245,male
1628,29498245,middle aged
1629,29036652,aged
1629,29036652,female
1629,29036652,male
1629,29036652,middle aged
1630,29893475,aged
1630,29893475,female
1630,29893475,male
1633,28097627,female
1633,28097627,male
1633,28097627,middle aged
1635,29864548,adult
1635,29864548,female
1635,29864548,male
1636,29149862,female
1636,29149862,male
1638,28114922,adolescent
1638,28114922,adult
1638,28114922,aged
1638,28114922,"aged, 80 and over"
1638,28114922,female
1638,28114922,male
1638,28114922,middle aged
1639,30485612,aged
1639,30485612,female
1639,30485612,male
1640,28768700,adult
1640,28768700,female
1640,28768700,male
1641,30156044,adolescent
1641,30156044,adult
1641,30156044,aged
1641,30156044,female
1641,30156044,middle aged
1641,30156044,young adult
1643,28051761,adult
1643,28051761,aged
1643,28051761,"aged, 80 and over"
1643,28051761,female
1643,28051761,male
1643,28051761,middle aged
1644,28448329,adult
1644,28448329,aged
1644,28448329,"aged, 80 and over"
1644,28448329,middle aged
1645,30193564,aged
1645,30193564,"aged, 80 and over"
1645,30193564,female
1645,30193564,male
1646,30241511,aged
1646,30241511,"aged, 80 and over"
1646,30241511,female
1646,30241511,male
1646,30241511,middle aged
1647,29742035,aged
1647,29742035,female
1647,29742035,male
1647,29742035,middle aged
1648,30598367,adolescent
1648,30598367,child
1648,30598367,female
1648,30598367,male
1650,30393915,adolescent
1650,30393915,child
1650,30393915,female
1650,30393915,male
1650,30393915,young adult
1651,27886024,aged
1651,27886024,"aged, 80 and over"
1651,27886024,female
1651,27886024,male
1651,27886024,middle aged
1652,28420352,female
1652,28420352,male
1652,28420352,middle aged
1653,30081933,adolescent
1653,30081933,adult
1653,30081933,aged
1653,30081933,"aged, 80 and over"
1653,30081933,female
1653,30081933,male
1653,30081933,middle aged
1654,30553130,aged
1654,30553130,female
1654,30553130,male
1655,29267539,adolescent
1655,29267539,adult
1655,29267539,aged
1655,29267539,"aged, 80 and over"
1655,29267539,child
1655,29267539,"child, preschool"
1655,29267539,female
1655,29267539,infant
1655,29267539,"infant, newborn"
1655,29267539,male
1655,29267539,middle aged
1655,29267539,young adult
1657,30028715,aged
1657,30028715,"aged, 80 and over"
1657,30028715,female
1657,30028715,male
1657,30028715,middle aged
1658,29450689,aged
1658,29450689,female
1658,29450689,male
1659,28481825,adult
1659,28481825,aged
1659,28481825,"aged, 80 and over"
1659,28481825,female
1659,28481825,male
1659,28481825,middle aged
1659,28481825,young adult
1660,29678964,adolescent
1660,29678964,adult
1660,29678964,aged
1660,29678964,"aged, 80 and over"
1660,29678964,female
1660,29678964,male
1660,29678964,middle aged
1661,29952216,adult
1661,29952216,aged
1661,29952216,"aged, 80 and over"
1661,29952216,female
1661,29952216,male
1661,29952216,middle aged
1662,28654302,aged
1662,28654302,"aged, 80 and over"
1662,28654302,female
1662,28654302,male
1662,28654302,middle aged
1664,29132622,adult
1664,29132622,aged
1664,29132622,"aged, 80 and over"
1664,29132622,female
1664,29132622,male
1664,29132622,middle aged
1665,28244117,aged
1665,28244117,female
1665,28244117,male
1666,30421438,female
1666,30421438,male
1670,28484920,adult
1670,28484920,aged
1670,28484920,female
1670,28484920,male
1671,29742959,aged
1671,29742959,"aged, 80 and over"
1671,29742959,female
1671,29742959,male
1671,29742959,middle aged
1672,27496248,aged
1672,27496248,female
1672,27496248,male
1672,27496248,middle aged
1674,29488798,adult
1674,29488798,female
1674,29488798,male
1674,29488798,middle aged
1676,28615152,female
1676,28615152,male
1677,29160826,female
1677,29160826,male
1678,30213005,aged
1678,30213005,female
1678,30213005,male
1678,30213005,middle aged
1679,28659253,middle aged
1680,29157233,adult
1680,29157233,female
1680,29157233,male
1681,28458534,aged
1681,28458534,"aged, 80 and over"
1681,28458534,female
1681,28458534,male
1681,28458534,middle aged
1682,28176442,aged
1682,28176442,female
1682,28176442,male
1682,28176442,middle aged
1683,28533100,aged
1683,28533100,female
1683,28533100,male
1683,28533100,middle aged
1684,28859648,aged
1684,28859648,"aged, 80 and over"
1684,28859648,female
1684,28859648,male
1684,28859648,middle aged
1685,30566211,adolescent
1685,30566211,adult
1685,30566211,aged
1685,30566211,female
1685,30566211,male
1685,30566211,middle aged
1686,29477974,aged
1686,29477974,"aged, 80 and over"
1686,29477974,female
1686,29477974,male
1686,29477974,middle aged
1687,30300744,aged
1687,30300744,female
1687,30300744,male
1687,30300744,middle aged
1688,30261884,adult
1688,30261884,aged
1688,30261884,"aged, 80 and over"
1688,30261884,female
1688,30261884,male
1688,30261884,middle aged
1695,31722151,adult
1695,31722151,aged
1695,31722151,female
1695,31722151,male
1695,31722151,middle aged
1697,32656626,child
1698,33243384,aged
1700,31820334,female
1700,31820334,male
1700,31820334,middle aged
1702,31833835,adult
1702,31833835,aged
1702,31833835,female
1702,31833835,male
1702,31833835,middle aged
1703,32730613,aged
1703,32730613,female
1703,32730613,male
1703,32730613,middle aged
1704,32673222,aged
1704,32673222,female
1704,32673222,male
1706,32282044,aged
1706,32282044,female
1706,32282044,male
1706,32282044,middle aged
1707,30831331,adult
1711,31365840,female
1711,31365840,male
1712,32936209,aged
1712,32936209,"aged, 80 and over"
1712,32936209,female
1712,32936209,male
1712,32936209,middle aged
1713,32561497,child
1715,31228414,adult
1715,31228414,female
1717,32613635,aged
1717,32613635,female
1717,32613635,male
1717,32613635,middle aged
1723,32893318,adolescent
1723,32893318,adult
1723,32893318,child
1723,32893318,female
1726,32434631,infant
1726,32434631,"infant, newborn"
1727,31197564,adult
1731,31823400,aged
1731,31823400,"aged, 80 and over"
1732,30667278,adult
1732,30667278,aged
1732,30667278,"aged, 80 and over"
1732,30667278,female
1732,30667278,male
1732,30667278,middle aged
1733,32650860,adolescent
1733,32650860,child
1736,31543181,aged
1736,31543181,"aged, 80 and over"
1736,31543181,female
1736,31543181,male
1737,32891113,aged
1737,32891113,middle aged
1739,33137309,female
1739,33137309,male
1739,33137309,middle aged
1747,33087611,aged
1754,30789311,adult
1754,30789311,aged
1756,31058734,adult
1756,31058734,aged
1756,31058734,"aged, 80 and over"
1756,31058734,female
1756,31058734,male
1756,31058734,middle aged
1758,32197444,female
1760,32513626,aged
1760,32513626,female
1760,32513626,male
1760,32513626,middle aged
1761,32552559,adult
1763,30667588,aged
1763,30667588,female
1763,30667588,male
1763,30667588,middle aged
1767,32532445,aged
1767,32532445,middle aged
1772,32534691,female
1772,32534691,male
1778,32713447,"infant, newborn"
1791,32817266,adult
1791,32817266,female
1791,32817266,infant
1791,32817266,"infant, newborn"
1791,32817266,male
1793,30681548,adult
1793,30681548,aged
1793,30681548,"aged, 80 and over"
1793,30681548,female
1793,30681548,male
1793,30681548,middle aged
1794,32522097,aged
1803,31291794,aged
1803,31291794,"aged, 80 and over"
1803,31291794,female
1803,31291794,male
1807,33172746,adult
1807,33172746,aged
1807,33172746,female
1807,33172746,male
1807,33172746,middle aged
1809,32692972,female
1809,32692972,male
1810,30879372,aged
1810,30879372,female
1810,30879372,male
1814,30836931,aged
1814,30836931,"aged, 80 and over"
1814,30836931,female
1814,30836931,male
1815,33170984,child
1831,32725833,"aged, 80 and over"
1831,32725833,male
1834,33310694,male
1837,32807389,adult
1837,32807389,female
1837,32807389,male
1837,32807389,middle aged
1838,33351729,child
1839,31618607,adult
1839,31618607,female
1839,31618607,male
1839,31618607,middle aged
1841,32301763,"aged, 80 and over"
1841,32301763,female
1841,32301763,male
1841,32301763,middle aged
1842,32438483,aged
1842,32438483,"aged, 80 and over"
1842,32438483,female
1842,32438483,male
1842,32438483,middle aged
1849,32662243,adult
1849,32662243,female
1849,32662243,infant
1849,32662243,"infant, newborn"
1849,32662243,male
1851,32267239,female
1851,32267239,male
1856,31955410,adolescent
1856,31955410,adult
1856,31955410,aged
1856,31955410,male
1856,31955410,middle aged
1856,31955410,young adult
1857,31654966,adult
1857,31654966,female
1857,31654966,male
1857,31654966,middle aged
1859,33074759,female
1859,33074759,male
1861,32438016,aged
1861,32438016,female
1861,32438016,male
1862,32717188,adolescent
1862,32717188,adult
1862,32717188,aged
1862,32717188,"aged, 80 and over"
1862,32717188,female
1862,32717188,male
1862,32717188,middle aged
1863,31081450,female
1866,32511110,adult
1866,32511110,aged
1866,32511110,female
1866,32511110,male
1866,32511110,middle aged
1867,32772708,young adult
1870,33267723,female
1870,33267723,male
1870,33267723,middle aged
1883,33095109,female
1884,31021123,adult
1884,31021123,female
1884,31021123,male
1884,31021123,middle aged
1885,32495032,adult
1885,32495032,aged
1885,32495032,"aged, 80 and over"
1885,32495032,female
1885,32495032,male
1885,32495032,middle aged
1887,31929355,aged
1887,31929355,female
1887,31929355,male
1889,33936416,aged
1889,33936416,male
1889,33936416,middle aged
1891,32501747,adolescent
1891,32501747,adult
1891,32501747,aged
1891,32501747,"aged, 80 and over"
1891,32501747,child
1891,32501747,"child, preschool"
1891,32501747,female
1891,32501747,infant
1891,32501747,male
1891,32501747,middle aged
1891,32501747,young adult
1892,33079264,adult
1892,33079264,female
1892,33079264,infant
1892,33079264,male
1893,33279151,aged
1893,33279151,"aged, 80 and over"
1893,33279151,female
1893,33279151,male
1893,33279151,middle aged
1894,32957030,adult
1894,32957030,female
1894,32957030,male
1894,32957030,middle aged
1896,32328807,adult
1896,32328807,female
1896,32328807,young adult
1898,31067981,adult
1898,31067981,aged
1898,31067981,"aged, 80 and over"
1898,31067981,female
1898,31067981,male
1898,31067981,middle aged
1899,33331824,aged
1899,33331824,female
1899,33331824,male
1901,32597998,adult
1901,32597998,aged
1901,32597998,"aged, 80 and over"
1901,32597998,female
1901,32597998,male
1901,32597998,middle aged
1904,33275527,male
1906,31599985,female
1906,31599985,"infant, newborn"
1907,31899587,adult
1907,31899587,female
1907,31899587,male
1907,31899587,middle aged
1908,32052871,adolescent
1908,32052871,female
1909,32762457,aged
1909,32762457,female
1909,32762457,male
1909,32762457,middle aged
1912,31599844,adult
1912,31599844,female
1913,33301362,aged
1913,33301362,female
1913,33301362,male
1917,30686652,female
1917,30686652,male
1917,30686652,middle aged
1918,33216004,aged
1918,33216004,female
1918,33216004,male
1918,33216004,middle aged
1919,30874886,aged
1919,30874886,female
1919,30874886,male
1919,30874886,middle aged
1920,30668690,female
1920,30668690,male
1923,31747080,adult
1923,31747080,aged
1923,31747080,"aged, 80 and over"
1923,31747080,female
1923,31747080,male
1923,31747080,middle aged
1924,31072808,female
1924,31072808,male
1925,32187035,"aged, 80 and over"
1925,32187035,male
1928,30847488,adult
1928,30847488,aged
1928,30847488,"aged, 80 and over"
1928,30847488,female
1928,30847488,male
1928,30847488,middle aged
1928,30847488,young adult
1929,31118368,aged
1929,31118368,"aged, 80 and over"
1929,31118368,female
1929,31118368,male
1929,31118368,middle aged
1930,31669047,adult
1930,31669047,female
1930,31669047,male
1930,31669047,middle aged
1931,32717653,adult
1931,32717653,female
1933,30702437,aged
1933,30702437,"aged, 80 and over"
1933,30702437,female
1933,30702437,male
1935,33266245,middle aged
1938,33384398,adult
1938,33384398,male
1942,33063412,infant
1943,31368447,female
1943,31368447,male
1944,32330546,female
1944,32330546,male
1944,32330546,middle aged
1948,32019822,adult
1948,32019822,aged
1948,32019822,female
1948,32019822,male
1948,32019822,middle aged
1949,32130133,female
1949,32130133,male
1950,32648924,aged
1950,32648924,female
1950,32648924,male
1952,32012065,aged
1952,32012065,female
1952,32012065,male
1953,31818220,adolescent
1953,31818220,adult
1953,31818220,aged
1953,31818220,female
1953,31818220,male
1953,31818220,middle aged
1954,32580977,aged
1954,32580977,"aged, 80 and over"
1954,32580977,female
1954,32580977,male
1954,32580977,middle aged
1955,32431021,aged
1959,31578088,aged
1959,31578088,"aged, 80 and over"
1959,31578088,female
1959,31578088,male
1960,32417952,female
1960,32417952,male
1960,32417952,middle aged
1961,32441658,female
1961,32441658,male
1961,32441658,middle aged
1965,32176191,aged
1965,32176191,female
1965,32176191,male
1965,32176191,middle aged
1967,30872070,female
1967,30872070,male
1967,30872070,middle aged
1970,32501275,aged
1970,32501275,"aged, 80 and over"
1970,32501275,female
1970,32501275,male
1970,32501275,middle aged
1971,32812883,adult
1971,32812883,female
1971,32812883,male
1971,32812883,middle aged
1972,32716302,female
1973,31313863,aged
1973,31313863,female
1973,31313863,male
1974,32281764,female
1974,32281764,male
1974,32281764,middle aged
1975,30924194,aged
1975,30924194,female
1975,30924194,male
1978,33200590,aged
1978,33200590,"aged, 80 and over"
1978,33200590,female
1978,33200590,male
1978,33200590,middle aged
1980,32130116,female
1980,32130116,male
1980,32130116,middle aged
1981,33275106,adolescent
1981,33275106,adult
1981,33275106,female
1981,33275106,male
1982,30744419,aged
1982,30744419,male
1983,30724744,female
1983,30724744,male
1984,33328029,adolescent
1984,33328029,adult
1984,33328029,aged
1984,33328029,female
1984,33328029,male
1984,33328029,middle aged
1984,33328029,young adult
1985,33021489,aged
1985,33021489,female
1989,32868257,aged
1989,32868257,female
1989,32868257,male
1989,32868257,middle aged
1990,33256959,aged
1990,33256959,"aged, 80 and over"
1990,33256959,female
1990,33256959,male
1992,31651986,aged
1992,31651986,"aged, 80 and over"
1992,31651986,female
1992,31651986,male
1992,31651986,middle aged
1993,31107287,adult
1993,31107287,aged
1993,31107287,"aged, 80 and over"
1993,31107287,female
1993,31107287,male
1993,31107287,middle aged
1994,32212988,child
1994,32212988,"infant, newborn"
1995,32342703,aged
1995,32342703,"aged, 80 and over"
1995,32342703,female
1995,32342703,male
1995,32342703,middle aged
1996,32463534,aged
1996,32463534,female
1996,32463534,male
1997,32314970,female
1997,32314970,male
1998,31651259,adult
1998,31651259,aged
1998,31651259,female
1998,31651259,male
1998,31651259,middle aged
1999,31533713,adult
1999,31533713,aged
1999,31533713,middle aged
2000,33350962,aged
2000,33350962,female
2000,33350962,male
2005,31547890,adult
2005,31547890,aged
2005,31547890,female
2005,31547890,male
2005,31547890,middle aged
2006,32041097,adult
2006,32041097,female
2006,32041097,male
2006,32041097,middle aged
2007,32332322,female
2011,32098894,adult
2011,32098894,female
2011,32098894,male
2012,31299903,adult
2012,31299903,aged
2012,31299903,female
2012,31299903,male
2012,31299903,middle aged
2013,31461123,adult
2013,31461123,female
2013,31461123,male
2013,31461123,middle aged
2015,31063856,female
2015,31063856,male
2015,31063856,middle aged
2016,31714393,adult
2016,31714393,aged
2016,31714393,female
2016,31714393,male
2016,31714393,middle aged
2018,31132996,aged
2018,31132996,"aged, 80 and over"
2018,31132996,female
2018,31132996,male
2018,31132996,middle aged
2021,31025897,female
2021,31025897,male
2022,33021485,female
2022,33021485,male
2022,33021485,middle aged
2023,30747765,adult
2023,30747765,aged
2023,30747765,female
2023,30747765,male
2023,30747765,middle aged
2023,30747765,young adult
2025,32426953,aged
2025,32426953,female
2025,32426953,male
2025,32426953,middle aged
2027,31909717,aged
2027,31909717,female
2027,31909717,male
2027,31909717,middle aged
2028,32884251,aged
2028,32884251,female
2028,32884251,male
2029,31435951,aged
2029,31435951,female
2029,31435951,male
2029,31435951,middle aged
2036,31406459,aged
2036,31406459,female
2036,31406459,male
2038,32624303,adult
2038,32624303,female
2038,32624303,male
2038,32624303,middle aged
2039,30892271,adult
2039,30892271,aged
2039,30892271,female
2039,30892271,male
2039,30892271,middle aged
2043,32246229,adult
2043,32246229,female
2043,32246229,male
2045,33322678,female
2045,33322678,male
2047,30821691,female
2047,30821691,male
2047,30821691,middle aged
2051,30778018,adult
2051,30778018,female
2052,30617040,adolescent
2052,30617040,adult
2052,30617040,female
2054,30829067,aged
2054,30829067,female
2054,30829067,male
2055,32328669,female
2056,31857341,aged
2056,31857341,female
2056,31857341,male
2057,32706745,aged
2058,32665344,adolescent
2058,32665344,child
2058,32665344,female
2058,32665344,male
2059,29554380,aged
2059,29554380,female
2059,29554380,male
2059,29554380,middle aged
2061,32390365,aged
2061,32390365,female
2061,32390365,male
2061,32390365,middle aged
2062,30471130,adult
2062,30471130,aged
2062,30471130,female
2062,30471130,middle aged
2063,31365443,aged
2063,31365443,"aged, 80 and over"
2063,31365443,female
2063,31365443,male
2063,31365443,middle aged
2064,30669678,adult
2064,30669678,female
2064,30669678,male
2064,30669678,middle aged
2067,30869651,aged
2067,30869651,"aged, 80 and over"
2067,30869651,female
2067,30869651,male
2067,30869651,middle aged
2068,32827338,aged
2068,32827338,female
2069,31725920,aged
2069,31725920,female
2069,31725920,male
2069,31725920,middle aged
2071,30881538,adult
2071,30881538,aged
2071,30881538,"aged, 80 and over"
2071,30881538,female
2071,30881538,male
2071,30881538,middle aged
2073,31769527,aged
2073,31769527,female
2073,31769527,male
2073,31769527,middle aged
2074,30681003,adult
2074,30681003,aged
2074,30681003,female
2074,30681003,male
2074,30681003,middle aged
2075,31782661,aged
2075,31782661,"aged, 80 and over"
2075,31782661,female
2075,31782661,male
2076,32881685,male
2078,31980512,adult
2078,31980512,female
2080,32357888,aged
2080,32357888,female
2080,32357888,male
2080,32357888,middle aged
2082,33250059,aged
2082,33250059,female
2082,33250059,male
2083,31371293,adult
2083,31371293,aged
2083,31371293,"aged, 80 and over"
2083,31371293,middle aged
2085,31294910,adult
2085,31294910,aged
2085,31294910,female
2085,31294910,male
2085,31294910,middle aged
2087,31343582,female
2087,31343582,male
2087,31343582,middle aged
2088,32628688,aged
2088,32628688,female
2088,32628688,male
2088,32628688,middle aged
2090,32811480,aged
2090,32811480,female
2090,32811480,male
2090,32811480,middle aged
2092,32763875,adult
2092,32763875,aged
2092,32763875,female
2092,32763875,male
2092,32763875,middle aged
2093,30782070,female
2093,30782070,male
2093,30782070,middle aged
2094,33371027,adult
2094,33371027,aged
2094,33371027,female
2094,33371027,middle aged
2096,32206315,female
2096,32206315,male
2096,32206315,middle aged
2097,32171884,aged
2097,32171884,middle aged
2098,31195650,aged
2098,31195650,"aged, 80 and over"
2098,31195650,female
2098,31195650,male
2098,31195650,middle aged
2099,31810441,aged
2100,31047704,aged
2100,31047704,female
2100,31047704,male
2103,32297946,aged
2103,32297946,female
2103,32297946,male
2103,32297946,middle aged
2104,31516036,aged
2104,31516036,"aged, 80 and over"
2104,31516036,female
2104,31516036,male
2104,31516036,middle aged
2107,32192438,aged
2107,32192438,female
2107,32192438,male
2107,32192438,middle aged
2108,32407288,aged
2109,31140445,aged
2109,31140445,"aged, 80 and over"
2109,31140445,female
2109,31140445,male
2109,31140445,middle aged
2110,30975047,aged
2110,30975047,female
2110,30975047,male
2110,30975047,middle aged
2111,30952832,adult
2111,30952832,female
2111,30952832,male
2111,30952832,middle aged
2112,30793735,adult
2112,30793735,aged
2112,30793735,"aged, 80 and over"
2112,30793735,female
2112,30793735,male
2112,30793735,middle aged
2113,30945992,female
2114,30806625,aged
2114,30806625,"aged, 80 and over"
2114,30806625,female
2114,30806625,male
2114,30806625,middle aged
2116,30868756,adult
2116,30868756,female
2116,30868756,male
2116,30868756,middle aged
2118,32156763,adult
2118,32156763,female
2118,32156763,middle aged
2119,30085018,aged
2119,30085018,"aged, 80 and over"
2119,30085018,female
2119,30085018,male
2119,30085018,middle aged
2120,32795997,female
2120,32795997,male
2122,32188310,aged
2124,31929560,aged
2124,31929560,"aged, 80 and over"
2124,31929560,female
2124,31929560,male
2124,31929560,middle aged
2125,32515740,adolescent
2125,32515740,adult
2125,32515740,female
2125,32515740,male
2126,31350836,aged
2126,31350836,female
2126,31350836,male
2126,31350836,middle aged
2127,30478478,female
2127,30478478,male
2129,32720900,aged
2129,32720900,female
2129,32720900,male
2130,31849254,aged
2130,31849254,female
2130,31849254,male
2130,31849254,middle aged
2131,30786051,adult
2131,30786051,female
2131,30786051,male
2131,30786051,middle aged
2133,31623589,adult
2133,31623589,female
2133,31623589,male
2133,31623589,middle aged
2136,32027309,female
2136,32027309,male
2136,32027309,middle aged
2139,32985997,aged
2139,32985997,female
2139,32985997,male
2139,32985997,middle aged
2140,30910624,aged
2140,30910624,female
2140,30910624,male
2142,31611112,aged
2142,31611112,female
2142,31611112,male
2143,33554583,adult
2143,33554583,female
2143,33554583,middle aged
2143,33554583,young adult
2145,32436616,adult
2145,32436616,aged
2145,32436616,"aged, 80 and over"
2145,32436616,female
2145,32436616,male
2145,32436616,middle aged
2146,32071124,female
2146,32071124,middle aged
2149,31389339,adult
2149,31389339,aged
2149,31389339,female
2149,31389339,male
2149,31389339,middle aged
2150,30995686,aged
2150,30995686,female
2150,30995686,male
2150,30995686,middle aged
2152,31490566,female
2152,31490566,male
2152,31490566,middle aged
2154,29955890,aged
2154,29955890,"aged, 80 and over"
2154,29955890,female
2154,29955890,male
2155,30803322,adult
2155,30803322,female
2155,30803322,male
2155,30803322,middle aged
2157,32738577,adult
2157,32738577,aged
2157,32738577,middle aged
2158,31088306,adult
2158,31088306,aged
2158,31088306,"aged, 80 and over"
2158,31088306,female
2158,31088306,middle aged
2160,32305146,female
2160,32305146,male
2160,32305146,middle aged
2161,33388006,adolescent
2161,33388006,adult
2161,33388006,aged
2161,33388006,"aged, 80 and over"
2161,33388006,child
2161,33388006,female
2161,33388006,male
2161,33388006,middle aged
2161,33388006,young adult
2162,32241367,aged
2162,32241367,"aged, 80 and over"
2162,32241367,female
2162,32241367,male
2162,32241367,middle aged
2163,32763199,"child, preschool"
2163,32763199,female
2163,32763199,male
2164,32159517,female
2164,32159517,male
2165,30823864,aged
2165,30823864,"aged, 80 and over"
2165,30823864,female
2165,30823864,male
2165,30823864,middle aged
2168,31735786,aged
2168,31735786,"aged, 80 and over"
2168,31735786,female
2168,31735786,male
2168,31735786,middle aged
2169,32354452,female
2169,32354452,male
2169,32354452,middle aged
2172,31825132,aged
2172,31825132,"aged, 80 and over"
2173,31242394,aged
2173,31242394,female
2173,31242394,male
2174,31286545,adult
2174,31286545,aged
2174,31286545,"aged, 80 and over"
2174,31286545,female
2174,31286545,male
2174,31286545,middle aged
2174,31286545,young adult
2175,30824913,female
2175,30824913,middle aged
2176,33037989,female
2176,33037989,male
2176,33037989,middle aged
2179,32769863,adult
2179,32769863,female
2181,30536931,aged
2181,30536931,female
2181,30536931,male
2181,30536931,middle aged
2182,31157660,aged
2182,31157660,"aged, 80 and over"
2182,31157660,female
2182,31157660,male
2183,32972313,adult
2183,32972313,female
2183,32972313,male
2184,31499101,adolescent
2184,31499101,adult
2184,31499101,aged
2184,31499101,child
2184,31499101,"child, preschool"
2184,31499101,female
2184,31499101,infant
2184,31499101,"infant, newborn"
2184,31499101,male
2184,31499101,middle aged
2184,31499101,young adult
2186,32391799,adolescent
2186,32391799,adult
2186,32391799,aged
2186,32391799,"aged, 80 and over"
2186,32391799,female
2186,32391799,male
2186,32391799,middle aged
2188,31033857,aged
2188,31033857,female
2188,31033857,male
2188,31033857,middle aged
2189,33271446,child
2189,33271446,female
2189,33271446,male
2190,31145281,female
2190,31145281,male
2191,30590964,aged
2191,30590964,female
2191,30590964,male
2192,32329737,female
2192,32329737,male
2192,32329737,middle aged
2193,31789599,adult
2193,31789599,female
2193,31789599,male
2193,31789599,middle aged
2194,33239406,aged
2194,33239406,female
2194,33239406,male
2195,30975992,adult
2197,33211733,aged
2197,33211733,"aged, 80 and over"
2197,33211733,female
2197,33211733,male
2197,33211733,middle aged
2199,30632092,adolescent
2199,30632092,female
2199,30632092,male
2199,30632092,young adult
2200,31841115,aged
2200,31841115,female
2200,31841115,male
2200,31841115,middle aged
2205,32452821,aged
2205,32452821,female
2205,32452821,male
2205,32452821,middle aged
2206,32469189,female
2206,32469189,male
2209,33328035,aged
2209,33328035,"aged, 80 and over"
2209,33328035,female
2209,33328035,male
2209,33328035,middle aged
2212,30585983,female
2212,30585983,male
2217,33323221,adult
2217,33323221,aged
2217,33323221,"aged, 80 and over"
2217,33323221,female
2217,33323221,male
2217,33323221,middle aged
2219,31499227,adult
2219,31499227,female
2219,31499227,male
2220,32602361,aged
2220,32602361,female
2220,32602361,male
2221,33341950,adult
2221,33341950,female
2221,33341950,male
2223,31878195,adolescent
2223,31878195,child
2223,31878195,female
2223,31878195,male
2226,32768690,female
2226,32768690,male
2226,32768690,middle aged
2227,32954600,aged
2227,32954600,"aged, 80 and over"
2227,32954600,female
2227,32954600,male
2227,32954600,middle aged
2228,32233754,aged
2228,32233754,"aged, 80 and over"
2228,32233754,female
2228,32233754,male
2228,32233754,middle aged
2229,30939922,adolescent
2229,30939922,adult
2229,30939922,aged
2229,30939922,"aged, 80 and over"
2229,30939922,female
2229,30939922,male
2229,30939922,middle aged
2232,32616596,female
2232,32616596,male
2233,33270125,aged
2233,33270125,female
2233,33270125,male
2233,33270125,middle aged
2234,31153891,adult
2234,31153891,female
2234,31153891,male
2234,31153891,middle aged
2240,31043065,aged
2240,31043065,female
2240,31043065,male
2240,31043065,middle aged
2241,32050947,adult
2241,32050947,aged
2241,32050947,female
2241,32050947,male
2241,32050947,middle aged
2242,32558441,female
2242,32558441,male
2242,32558441,middle aged
2247,31834122,adult
2247,31834122,aged
2247,31834122,female
2247,31834122,male
2247,31834122,middle aged
2248,31002434,adolescent
2248,31002434,adult
2248,31002434,aged
2248,31002434,female
2248,31002434,male
2248,31002434,middle aged
2249,31804186,aged
2249,31804186,female
2249,31804186,male
2249,31804186,middle aged
2251,33462860,aged
2251,33462860,"aged, 80 and over"
2251,33462860,female
2251,33462860,male
2251,33462860,middle aged
2252,32643914,adult
2252,32643914,aged
2252,32643914,"aged, 80 and over"
2252,32643914,female
2252,32643914,male
2252,32643914,middle aged
2253,33185615,child
2254,32736597,female
2254,32736597,male
2255,32865129,aged
2255,32865129,female
2255,32865129,male
2257,32374382,aged
2257,32374382,female
2257,32374382,male
2257,32374382,middle aged
2258,33028141,child
2258,33028141,"child, preschool"
2258,33028141,"infant, newborn"
2260,30943824,adult
2260,30943824,aged
2260,30943824,female
2260,30943824,male
2260,30943824,middle aged
2261,31862436,female
2261,31862436,male
2262,31718597,child
